gene_symbol	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	diffexpressed	Protein_ID	gene	swissprot_symbol	trembl_symbol	ncbi_symbol	Swiss.Prot_Hit	SP_E.value	Swiss.Prot_Description	Trembl_Hit	TB_E.value	Trembl_Description	NCBI_hit	nr_E.value	NCBI_Description	GO_Swiss.Prot	GO_Trembl
COA	8.4189403431328e-06	-0.249407677813141	0.837	0.862	0.20808252952087	apo	evm.model.Ap7.113	evm.TU.Ap7.113	Collagen alpha chain (Fragment)	Collagen alpha-2(I) chain	collagen alpha chain-like [Stylophora pistillata]	sp|B8V7R6|COA_ACRMI	0	Collagen alpha chain (Fragment) OS=Acropora millepora PE=1 SV=1	tr|A0A2B4SP24|A0A2B4SP24_STYPI	0	Collagen alpha-2(I) chain OS=Stylophora pistillata GN=Col1a2 PE=4 SV=1	ref|XP_022779335.1|	0	collagen alpha chain-like [Stylophora pistillata]	GO:0005581; GO:0005576; GO:0005201	GO:0005581; GO:0005201
CO1A2.9	8.75443332914973e-06	0.123290942234248	0.424	0.362	0.216374574163265	sym	evm.model.Ap7.132	evm.TU.Ap7.132	Collagen alpha-2(I) chain	Collagen alpha-2(I) chain	collagen alpha-1(I) chain-like [Stylophora pistillata]	sp|Q01149|CO1A2_MOUSE	8.36e-149	Collagen alpha-2(I) chain OS=Mus musculus GN=Col1a2 PE=1 SV=2	tr|A0A2B4SU69|A0A2B4SU69_STYPI	0	Collagen alpha-2(I) chain OS=Stylophora pistillata GN=Col1a2 PE=4 SV=1	ref|XP_022779254.1|	0	collagen alpha-1(I) chain-like [Stylophora pistillata]	GO:0005581; GO:0005584; GO:0005783; GO:0031012; GO:0005576; GO:0005615; GO:0005201; GO:0042802; GO:0046872; GO:0048407; GO:0002020; GO:0030674; GO:0046332; GO:0001568; GO:0071230; GO:0030199; GO:0070208; GO:0008217; GO:0007266; GO:0001501; GO:0043589; GO:0007179	GO:0005581; GO:0005201
CILP1.6	8.6007332284663e-05	0.681194904745866	0.226	0.113	1	sym	evm.model.Ap2.2940	evm.TU.Ap2.2940	Cartilage intermediate layer protein 1	Kelch-like protein 12	cartilage intermediate layer protein 1-like [Stylophora pistillata]	sp|O75339|CILP1_HUMAN	4.89e-78	Cartilage intermediate layer protein 1 OS=Homo sapiens GN=CILP PE=1 SV=4	tr|A0A2B4SDU6|A0A2B4SDU6_STYPI	0	Kelch-like protein 12 OS=Stylophora pistillata GN=klhl12 PE=4 SV=1	ref|XP_022786561.1|	0	cartilage intermediate layer protein 1-like [Stylophora pistillata]	GO:0070062; GO:0031012; GO:0005615; GO:0005578; GO:0043569	
HEBP2.2	0.000101002415694771	-0.287018696987794	0.754	0.817	1	apo	evm.model.Ap1.3218	evm.TU.Ap1.3218	Heme-binding protein 2	Uncharacterized protein	uncharacterized protein LOC110064666 [Orbicella faveolata]	sp|Q9Y5Z4|HEBP2_HUMAN	4.85e-29	Heme-binding protein 2 OS=Homo sapiens GN=HEBP2 PE=1 SV=1	tr|G8HTA8|G8HTA8_ACRMI	2.39e-158	Uncharacterized protein OS=Acropora millepora PE=2 SV=1	ref|XP_020627407.1|	0	uncharacterized protein LOC110064666 [Orbicella faveolata]	GO:0035578; GO:0005737; GO:0070062; GO:0005576; GO:0005739; GO:0010917; GO:0043312; GO:0035794; GO:0010940	
SAHH	0.000164088164147046	-0.255802459663635	0.925	0.948	1	apo	evm.model.Ap4.6582	evm.TU.Ap4.6582	Adenosylhomocysteinase	Adenosylhomocysteinase B	adenosylhomocysteinase B-like [Orbicella faveolata]	sp|P27604|SAHH_CAEEL	0	Adenosylhomocysteinase OS=Caenorhabditis elegans GN=ahcy-1 PE=3 SV=1	tr|A0A2B4SSI8|A0A2B4SSI8_STYPI	0	Adenosylhomocysteinase B OS=Stylophora pistillata GN=ahcy-b PE=4 SV=1	ref|XP_020609557.1|	0	adenosylhomocysteinase B-like [Orbicella faveolata]	GO:0005829; GO:0004013; GO:0051287; GO:0006730; GO:0019510; GO:0033353	GO:0004013; GO:0051287; GO:0006730; GO:0019510
NPTX2.21	0.000206797729577106	-1.7505079961086	0.083	0.121	1	apo	evm.model.Ap4.962	evm.TU.Ap4.962	Neuronal pentraxin-2	Neuronal pentraxin-1	uncharacterized protein LOC110059072 [Orbicella faveolata]	sp|P47970|NPTX2_CAVPO	1.35e-36	Neuronal pentraxin-2 OS=Cavia porcellus GN=NPTX2 PE=1 SV=1	tr|A0A2B4SIF4|A0A2B4SIF4_STYPI	5.66e-94	Neuronal pentraxin-1 OS=Stylophora pistillata GN=NPTX1 PE=4 SV=1	ref|XP_020621411.1|	0	uncharacterized protein LOC110059072 [Orbicella faveolata]	GO:0043160; GO:0046872	GO:0016021
VIT	0.000310238445168588	-0.137196360993222	0.471	0.482	1	apo	evm.model.Ap14.1897	evm.TU.Ap14.1897	Vitellogenin (Fragment)	Vitellogenin	vitellogenin-like [Stylophora pistillata]	sp|Q90243|VIT_ACITR	3.12e-60	Vitellogenin (Fragment) OS=Acipenser transmontanus PE=2 SV=1	tr|A0A2B4SSW5|A0A2B4SSW5_STYPI	0	Vitellogenin OS=Stylophora pistillata GN=AWC38_SpisGene2954 PE=4 SV=1	ref|XP_022779720.1|	0	vitellogenin-like [Stylophora pistillata]	GO:0005319; GO:0045735	GO:0005319
PGFS.2	0.000556335222751445	1.14036807372046	0.197	0.108	1	sym	evm.model.Ap6.422	evm.TU.Ap6.422	Prostamide/prostaglandin F synthase	Family with sequence similarity 213 member B	LOW QUALITY PROTEIN: prostamide/prostaglandin F synthase-like [Orbicella faveolata]	sp|Q6AZG8|PGFS_XENLA	1.07e-45	Prostamide/prostaglandin F synthase OS=Xenopus laevis GN=fam213b PE=2 SV=1	tr|H3BI27|H3BI27_LATCH	1.63e-49	Family with sequence similarity 213 member B OS=Latimeria chalumnae GN=FAM213B PE=4 SV=1	ref|XP_020630433.1|	1.1e-89	LOW QUALITY PROTEIN: prostamide/prostaglandin F synthase-like [Orbicella faveolata]	GO:0005829; GO:0016616; GO:0001516	
X3HIDH	0.000781878574231227	1.36895560414096	0.152	0.08	1	sym	evm.model.Ap7.960	evm.TU.Ap7.960	3-hydroxyisobutyrate dehydrogenase, mitochondrial	3-hydroxyisobutyrate dehydrogenase	3-hydroxyisobutyrate dehydrogenase, mitochondrial-like [Orbicella faveolata]	sp|Q99L13|3HIDH_MOUSE	1.4e-137	3-hydroxyisobutyrate dehydrogenase, mitochondrial OS=Mus musculus GN=Hibadh PE=1 SV=1	tr|A7RHX8|A7RHX8_NEMVE	1.2e-158	3-hydroxyisobutyrate dehydrogenase OS=Nematostella vectensis GN=v1g178116 PE=3 SV=1	ref|XP_020621177.1|	8.9e-180	3-hydroxyisobutyrate dehydrogenase, mitochondrial-like [Orbicella faveolata]	GO:0005739; GO:0008442; GO:0051287; GO:0004616; GO:0006574	GO:0008442; GO:0051287; GO:0004616; GO:0006574
PEAM1	0.00182655153483494	-0.816551536852132	0.511	0.587	1	apo	evm.model.Ap2.447	evm.TU.Ap2.447	Phosphoethanolamine N-methyltransferase 1	Phosphoethanolamine N-methyltransferase 1	phosphoethanolamine N-methyltransferase 1-like [Stylophora pistillata]	sp|Q9FR44|PEAM1_ARATH	1.28e-96	Phosphoethanolamine N-methyltransferase 1 OS=Arabidopsis thaliana GN=NMT1 PE=1 SV=1	tr|A0A2B4S389|A0A2B4S389_STYPI	3.37e-176	Phosphoethanolamine N-methyltransferase 1 OS=Stylophora pistillata GN=NMT1 PE=4 SV=1	gb|PFX23067.1|	5.23e-176	phosphoethanolamine N-methyltransferase 1-like [Stylophora pistillata]	GO:0005737; GO:0005829; GO:0008168; GO:0000234; GO:0042425; GO:0006656; GO:0009555; GO:0009860; GO:0010183; GO:0048528; GO:0009826	GO:0008168
ATS2	0.00273152650663376	-0.976280940933998	0.306	0.321	1	apo	evm.model.Ap2.2491	evm.TU.Ap2.2491	A disintegrin and metalloproteinase with thrombospondin motifs 2	A disintegrin and metalloproteinase with thrombospondin motifs 2 (Fragment)	A disintegrin and metalloproteinase with thrombospondin motifs 3-like [Orbicella faveolata]	sp|Q8C9W3|ATS2_MOUSE	1.83e-83	A disintegrin and metalloproteinase with thrombospondin motifs 2 OS=Mus musculus GN=Adamts2 PE=1 SV=2	tr|A0A094K9U7|A0A094K9U7_ANTCR	3.19e-88	A disintegrin and metalloproteinase with thrombospondin motifs 2 (Fragment) OS=Antrostomus carolinensis GN=N321_13027 PE=4 SV=1	ref|XP_020629328.1|	0	A disintegrin and metalloproteinase with thrombospondin motifs 3-like [Orbicella faveolata]	GO:0005615; GO:0005578; GO:0004222; GO:0008233; GO:0008270; GO:0030574; GO:0030199; GO:0030324; GO:0016485; GO:0043588; GO:0007283	GO:0046872; GO:0004222; GO:0007229
CO3A1.2	0.00281707396921676	2.2590160128808	0.138	0.027	1	sym	evm.model.Ap13.1569	evm.TU.Ap13.1569	Collagen alpha-1(III) chain	Otolin-1	uncharacterized protein LOC111340694 [Stylophora pistillata]	sp|P13941|CO3A1_RAT	3.37e-09	Collagen alpha-1(III) chain OS=Rattus norvegicus GN=Col3a1 PE=2 SV=3	tr|A0A2B4RM30|A0A2B4RM30_STYPI	1.29e-117	Otolin-1 OS=Stylophora pistillata GN=OTOL1 PE=4 SV=1	gb|PFX17560.1|	1.99e-117	uncharacterized protein LOC111340694 [Stylophora pistillata]	GO:0005581; GO:0005586; GO:0031012; GO:0005576; GO:0005615; GO:0005578; GO:0005201; GO:0005178; GO:0046872; GO:0048407; GO:0002020; GO:0046332; GO:0007568; GO:0060414; GO:0001568; GO:0007160; GO:0071230; GO:0021987; GO:0030199; GO:0048565; GO:0007507; GO:0007229; GO:0050777; GO:2001223; GO:0018149; GO:0035025; GO:0034097; GO:0009612; GO:0009314; GO:0001501; GO:0043588; GO:0097435; GO:0007179; GO:0042060	GO:0016021
UHRF1.1	0.00440512364776996	0.443699111300714	0.222	0.133	1	sym	evm.model.Ap5.1320	evm.TU.Ap5.1320	E3 ubiquitin-protein ligase UHRF1	E3 ubiquitin-protein ligase UHRF1	E3 ubiquitin-protein ligase UHRF1-like isoform X1 [Orbicella faveolata]	sp|B6CHA3|UHRF1_XENLA	0	E3 ubiquitin-protein ligase UHRF1 OS=Xenopus laevis GN=uhrf1 PE=2 SV=1	tr|A0A2B4SUP4|A0A2B4SUP4_STYPI	0	E3 ubiquitin-protein ligase UHRF1 OS=Stylophora pistillata GN=uhrf1 PE=4 SV=1	ref|XP_020629479.1|	0	E3 ubiquitin-protein ligase UHRF1-like isoform X1 [Orbicella faveolata]	GO:0000791; GO:0000792; GO:0000790; GO:0005657; GO:0044729; GO:0042393; GO:0035064; GO:0004842; GO:0008270; GO:0007049; GO:0016574; GO:0010216; GO:0000122; GO:0051865; GO:0042787; GO:0006351	GO:0005634; GO:0016874; GO:0046872
HMCN2.32	0.012527961380288	0.799518671442945	0.063	0.022	1	sym	evm.model.Ap9.1296	evm.TU.Ap9.1296	Hemicentin-2	Putative phosphorylase b kinase regulatory subunit alpha	hemicentin-2-like [Orbicella faveolata]	sp|Q8NDA2|HMCN2_HUMAN	4.45e-30	Hemicentin-2 OS=Homo sapiens GN=HMCN2 PE=2 SV=3	tr|A0A2B4S7T9|A0A2B4S7T9_STYPI	1.18e-153	Putative phosphorylase b kinase regulatory subunit alpha OS=Stylophora pistillata GN=AWC38_SpisGene10738 PE=4 SV=1	ref|XP_020631181.1|	0	hemicentin-2-like [Orbicella faveolata]	GO:0005604; GO:0005938; GO:0030054; GO:0032154; GO:0031012; GO:0005509; GO:0030335; GO:0050896; GO:0006939	GO:0005886; GO:0005516; GO:0016301; GO:0005977
HSF1	0.019555490840601	-0.278999951684407	0.44	0.412	1	apo	evm.model.Ap4.5690	evm.TU.Ap4.5690	Heat shock factor protein 1	Heat shock factor protein 1	heat shock factor protein 1-like isoform X1 [Orbicella faveolata]	sp|P38529|HSF1_CHICK	3.05e-72	Heat shock factor protein 1 OS=Gallus gallus GN=HSF1 PE=1 SV=1	tr|A0A2B4T2L4|A0A2B4T2L4_STYPI	0	Heat shock factor protein 1 OS=Stylophora pistillata GN=Hsf1 PE=4 SV=1	ref|XP_020628138.1|	0	heat shock factor protein 1-like isoform X1 [Orbicella faveolata]	GO:0005813; GO:0000777; GO:0005737; GO:0000776; GO:0097431; GO:0097165; GO:0005654; GO:0005634; GO:0048471; GO:0016605; GO:0031490; GO:0001046; GO:0003677; GO:0003700; GO:0031072; GO:1990841; GO:0042803; GO:0043621; GO:0043565; GO:0071276; GO:0071480; GO:0034605; GO:0006281; GO:0000165; GO:0006397; GO:0051028; GO:2001033; GO:0000122; GO:1902808; GO:1902751; GO:0008284; GO:0010628; GO:0045931; GO:1900365; GO:0045944; GO:0061408; GO:0051260; GO:0070207; GO:0043497; GO:0009408; GO:0009416; GO:0006351	GO:0005634; GO:0003700; GO:0043565
BAGS.1	0.0260361306858043	-0.241976797672684	0.097	0.108	1	apo	evm.model.Ap6.2140	evm.TU.Ap6.2140	BAG domain-containing protein Samui	BAG domain-containing protein Samui	uncharacterized protein LOC110059672 [Orbicella faveolata]	sp|Q9BLJ6|BAGS_BOMMO	3.41e-11	BAG domain-containing protein Samui OS=Bombyx mori GN=Samui PE=2 SV=1	tr|A0A2B4RJW4|A0A2B4RJW4_STYPI	8.75e-69	BAG domain-containing protein Samui OS=Stylophora pistillata GN=Samui PE=4 SV=1	ref|XP_020622057.1|	3.28e-95	uncharacterized protein LOC110059672 [Orbicella faveolata]	GO:0051087; GO:0030544; GO:0007275	GO:0051087
SIK2	0.0281661533814743	-0.77385368986612	0.331	0.396	1	apo	evm.model.Ap8.2191	evm.TU.Ap8.2191	Serine/threonine-protein kinase SIK2	Serine/threonine-protein kinase SIK1	serine/threonine-protein kinase SIK1-like isoform X1 [Orbicella faveolata]	sp|Q9H0K1|SIK2_HUMAN	7.87e-174	Serine/threonine-protein kinase SIK2 OS=Homo sapiens GN=SIK2 PE=1 SV=1	tr|A0A2B4RNF4|A0A2B4RNF4_STYPI	0	Serine/threonine-protein kinase SIK1 OS=Stylophora pistillata GN=Sik1 PE=4 SV=1	ref|XP_020621506.1|	0	serine/threonine-protein kinase SIK1-like isoform X1 [Orbicella faveolata]	GO:0005737; GO:0005634; GO:0005524; GO:0000287; GO:0004674; GO:0032870; GO:0035556; GO:0046777; GO:0006468; GO:0046626	GO:0005524; GO:0004674
GXN.18	0.031795692199308	-2.20567824537324	0.044	0.098	1	apo	evm.model.Ap4.830	evm.TU.Ap4.830	Galaxin	Usherin	uncharacterized protein LOC111331434 [Stylophora pistillata]	sp|D9IQ16|GXN_ACRMI	6.1e-31	Galaxin OS=Acropora millepora PE=1 SV=1	tr|A0A2B4S7M7|A0A2B4S7M7_STYPI	1.72e-50	Usherin OS=Stylophora pistillata GN=Ush2A PE=4 SV=1	ref|XP_022792282.1|	4.28e-74	uncharacterized protein LOC111331434 [Stylophora pistillata]	GO:0005576	
CO1A2.33	0.0330364188760498	1.28741758328314	0.069	0.025	1	sym	evm.model.Ap4.1528	evm.TU.Ap4.1528	Collagen alpha-2(I) chain	Collagen alpha-1(XXIV) chain	collagen alpha-2(I) chain-like isoform X2 [Orbicella faveolata]	sp|Q01149|CO1A2_MOUSE	1.92e-17	Collagen alpha-2(I) chain OS=Mus musculus GN=Col1a2 PE=1 SV=2	tr|A0A2B4SU49|A0A2B4SU49_STYPI	1.91e-93	Collagen alpha-1(XXIV) chain OS=Stylophora pistillata GN=Col24a1 PE=4 SV=1	ref|XP_020608863.1|	4.06e-161	collagen alpha-2(I) chain-like isoform X2 [Orbicella faveolata]	GO:0005581; GO:0005584; GO:0005783; GO:0031012; GO:0005576; GO:0005615; GO:0005201; GO:0042802; GO:0046872; GO:0048407; GO:0002020; GO:0030674; GO:0046332; GO:0001568; GO:0071230; GO:0030199; GO:0070208; GO:0008217; GO:0007266; GO:0001501; GO:0043589; GO:0007179	GO:0005581; GO:0016021
COA.1	0.0365952848234622	-0.286857990379459	0.375	0.35	1	apo	evm.model.Ap7.123	evm.TU.Ap7.123	Collagen alpha chain (Fragment)	Collagen alpha-1(XXVII) chain B	collagen alpha chain-like [Orbicella faveolata]	sp|B8V7R6|COA_ACRMI	1.57e-30	Collagen alpha chain (Fragment) OS=Acropora millepora PE=1 SV=1	tr|A0A2B4SR81|A0A2B4SR81_STYPI	8.4e-99	Collagen alpha-1(XXVII) chain B OS=Stylophora pistillata GN=col27a1b PE=4 SV=1	ref|XP_020615886.1|	1.02e-122	collagen alpha chain-like [Orbicella faveolata]	GO:0005581; GO:0005576; GO:0005201	GO:0005581; GO:0005201
CMLO2.3	0.0483240379851376	-0.721136119377497	0.278	0.375	1	apo	evm.model.Ap9.1356	evm.TU.Ap9.1356	Probable N-acetyltransferase CML2	Putative N-acetyltransferase camello	probable N-acetyltransferase camello [Orbicella faveolata]	sp|P85118|CMLO2_RAT	8.68e-26	Probable N-acetyltransferase CML2 OS=Rattus norvegicus GN=Cml2 PE=3 SV=1	tr|A0A2B4S2D4|A0A2B4S2D4_STYPI	1.72e-144	Putative N-acetyltransferase camello OS=Stylophora pistillata GN=cml PE=4 SV=1	ref|XP_020615055.1|	1.75e-148	probable N-acetyltransferase camello [Orbicella faveolata]	GO:0016021; GO:0008080; GO:0007369	GO:0016021; GO:0008080
Y1760.1	0.053418609323758	-0.98596855268998	0.182	0.225	1	apo	evm.model.Ap9.1053	evm.TU.Ap9.1053	Probable G-protein coupled receptor CG31760	Putative G-protein coupled receptor CG31760	probable G-protein coupled receptor CG31760 [Orbicella faveolata]	sp|Q9VKA4|Y1760_DROME	6.06e-102	Probable G-protein coupled receptor CG31760 OS=Drosophila melanogaster GN=CG31760 PE=1 SV=3	tr|A0A2B4S894|A0A2B4S894_STYPI	0	Putative G-protein coupled receptor CG31760 OS=Stylophora pistillata GN=AWC38_SpisGene9227 PE=4 SV=1	ref|XP_020628483.1|	0	probable G-protein coupled receptor CG31760 [Orbicella faveolata]	GO:0016021; GO:0005886; GO:0004930; GO:0007186	GO:0016021; GO:0004930
NASP	0.0695609356835848	0.184933592002957	0.191	0.143	1	sym	evm.model.Ap14.741	evm.TU.Ap14.741	Nuclear autoantigenic sperm protein	Nuclear autoantigenic sperm protein	histone-binding protein N1/N2-like [Orbicella faveolata]	sp|P49321|NASP_HUMAN	1.43e-38	Nuclear autoantigenic sperm protein OS=Homo sapiens GN=NASP PE=1 SV=2	tr|A0A2B4S7V3|A0A2B4S7V3_STYPI	8.81e-133	Nuclear autoantigenic sperm protein OS=Stylophora pistillata GN=NASP PE=4 SV=1	ref|XP_020627275.1|	7.51e-165	histone-binding protein N1/N2-like [Orbicella faveolata]	GO:0005737; GO:0000790; GO:0005654; GO:0005634; GO:0043234; GO:0042393; GO:0051879; GO:0032403; GO:0001824; GO:0007049; GO:0008283; GO:0006260; GO:0006335; GO:0006336; GO:0043486; GO:0008584; GO:0006334; GO:0015031; GO:0033574	
SERC	0.11076450352904	-0.126777158091019	0.378	0.295	1	apo	evm.model.Ap2.3611	evm.TU.Ap2.3611	Phosphoserine aminotransferase	Phosphoserine aminotransferase	phosphoserine aminotransferase-like isoform X1 [Orbicella faveolata]	sp|Q99K85|SERC_MOUSE	4.76e-170	Phosphoserine aminotransferase OS=Mus musculus GN=Psat1 PE=1 SV=1	tr|B3S7Q4|B3S7Q4_TRIAD	0	Phosphoserine aminotransferase OS=Trichoplax adhaerens GN=TRIADDRAFT_38236 PE=3 SV=1	ref|XP_020616209.1|	0	phosphoserine aminotransferase-like isoform X1 [Orbicella faveolata]	GO:0005737; GO:0005829; GO:0004648; GO:0006564	GO:0005737; GO:0004648; GO:0006564
CC173	0.13082482836877	0.201264036711394	0.148	0.099	1	sym	evm.model.Ap7.2337	evm.TU.Ap7.2337	Coiled-coil domain-containing protein 173	Coiled-coil domain-containing protein 173	coiled-coil domain-containing protein 173-like [Orbicella faveolata]	sp|Q0VFZ6|CC173_HUMAN	3.01e-87	Coiled-coil domain-containing protein 173 OS=Homo sapiens GN=CCDC173 PE=2 SV=2	tr|A0A2B4SPK1|A0A2B4SPK1_STYPI	0	Coiled-coil domain-containing protein 173 OS=Stylophora pistillata GN=Ccdc173 PE=4 SV=1	ref|XP_020602636.1|	0	coiled-coil domain-containing protein 173-like [Orbicella faveolata]		
HMCN1.29	0.147894373784444	0.0912244430832365	0.174	0.132	1	sym	evm.model.Ap8.2533	evm.TU.Ap8.2533	Hemicentin-1	Hemicentin-2	titin-like [Orbicella faveolata]	sp|Q96RW7|HMCN1_HUMAN	1.1e-40	Hemicentin-1 OS=Homo sapiens GN=HMCN1 PE=1 SV=2	tr|A0A2B4RHC1|A0A2B4RHC1_STYPI	0	Hemicentin-2 OS=Stylophora pistillata GN=Hmcn2 PE=4 SV=1	ref|XP_020620233.1|	0	titin-like [Orbicella faveolata]	GO:0005604; GO:0005938; GO:0030054; GO:0032154; GO:0070062; GO:0005509; GO:0007049; GO:0051301; GO:0050896; GO:0007601	
PEG3.1	0.197172412774124	-0.0229882979315462	0.184	0.143	1	apo	evm.model.Ap5.729	evm.TU.Ap5.729	Paternally-expressed gene 3 protein	Coagulation factor V	uncharacterized protein LOC110066066 [Orbicella faveolata]	sp|Q6H236|PEG3_BOVIN	6.18e-34	Paternally-expressed gene 3 protein OS=Bos taurus GN=PEG3 PE=2 SV=1	tr|A0A2B4RJA1|A0A2B4RJA1_STYPI	2.28e-60	Coagulation factor V OS=Stylophora pistillata GN=F5 PE=4 SV=1	ref|XP_020628925.1|	3.01e-129	uncharacterized protein LOC110066066 [Orbicella faveolata]	GO:0005737; GO:0005634; GO:0046872; GO:0003676; GO:0000981; GO:0006915	GO:0005578; GO:0005509; GO:0005518; GO:0050840; GO:0007165
MLRP1.4	0.201388366018988	0.690799006784127	0.051	0.015	1	sym	evm.model.Ap3.579	evm.TU.Ap3.579	MAM and LDL-receptor class A domain-containing protein 1 (Fragment)	MAM and LDL-receptor class A domain-containing protein 1	MAM and LDL-receptor class A domain-containing protein 1-like isoform X1 [Stylophora pistillata]	sp|B3EWZ5|MLRP1_ACRMI	1e-113	MAM and LDL-receptor class A domain-containing protein 1 (Fragment) OS=Acropora millepora PE=1 SV=1	tr|A0A2B4RRL6|A0A2B4RRL6_STYPI	0	MAM and LDL-receptor class A domain-containing protein 1 OS=Stylophora pistillata GN=MALRD1 PE=4 SV=1	gb|PFX19423.1|	0	MAM and LDL-receptor class A domain-containing protein 1-like isoform X1 [Stylophora pistillata]	GO:0005576; GO:0016020	GO:0016020
METK1	0.234522002446232	-0.524711313124649	0.369	0.411	1	apo	evm.model.Ap4.13	evm.TU.Ap4.13	S-adenosylmethionine synthase isoform type-1	S-adenosylmethionine synthase isoform type-1	S-adenosylmethionine synthase-like [Orbicella faveolata]	sp|Q00266|METK1_HUMAN	0	S-adenosylmethionine synthase isoform type-1 OS=Homo sapiens GN=MAT1A PE=1 SV=2	tr|A0A2B4SXE9|A0A2B4SXE9_STYPI	0	S-adenosylmethionine synthase isoform type-1 OS=Stylophora pistillata GN=MAT1A PE=4 SV=1	ref|XP_020613435.1|	0	S-adenosylmethionine synthase-like [Orbicella faveolata]	GO:0005829; GO:0005524; GO:0042802; GO:0046872; GO:0004478; GO:0098601; GO:0009087; GO:0032259; GO:0006730; GO:0051289; GO:0006556; GO:0001887; GO:0000096	GO:0005524; GO:0046872; GO:0004478; GO:0006730; GO:0006556
TNIP1	0.261403646276311	-0.85273004144943	0.166	0.207	1	apo	evm.model.Ap12.796	evm.TU.Ap12.796	TNFAIP3-interacting protein 1	Uncharacterized protein	TNFAIP3-interacting protein 3-like isoform X1 [Stylophora pistillata]	sp|Q15025|TNIP1_HUMAN	4.89e-07	TNFAIP3-interacting protein 1 OS=Homo sapiens GN=TNIP1 PE=1 SV=2	tr|A0A2B4S0Q4|A0A2B4S0Q4_STYPI	2.09e-136	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene12843 PE=4 SV=1	gb|PFX22629.1|	3.24e-136	TNFAIP3-interacting protein 3-like isoform X1 [Stylophora pistillata]	GO:0005737; GO:0005829; GO:0005622; GO:0005654; GO:0042802; GO:0051019; GO:0031593; GO:0071222; GO:0006952; GO:0009101; GO:0006954; GO:0007159; GO:0085032; GO:0002755; GO:0070373; GO:0043124; GO:0045071; GO:0050729; GO:1903003; GO:0045944; GO:0016579; GO:0006412	
PEG3	0.284827707169	-0.243630571759097	0.204	0.175	1	apo	evm.model.Ap5.728	evm.TU.Ap5.728	Paternally-expressed gene 3 protein	Coagulation factor V	uncharacterized protein LOC110066066 [Orbicella faveolata]	sp|Q6H236|PEG3_BOVIN	1.74e-31	Paternally-expressed gene 3 protein OS=Bos taurus GN=PEG3 PE=2 SV=1	tr|A0A2B4RJA1|A0A2B4RJA1_STYPI	5.45e-148	Coagulation factor V OS=Stylophora pistillata GN=F5 PE=4 SV=1	ref|XP_020628925.1|	0	uncharacterized protein LOC110066066 [Orbicella faveolata]	GO:0005737; GO:0005634; GO:0046872; GO:0003676; GO:0000981; GO:0006915	GO:0005578; GO:0005509; GO:0005518; GO:0050840; GO:0007165
K0319.1	0.303753964502552	1.68816871775839	0.032	0.004	1	sym	evm.model.Ap9.382	evm.TU.Ap9.382	Dyslexia-associated protein KIAA0319	Dyslexia-associated protein KIAA0319	uncharacterized protein LOC110055778 [Orbicella faveolata]	sp|Q5VV43|K0319_HUMAN	6.32e-06	Dyslexia-associated protein KIAA0319 OS=Homo sapiens GN=KIAA0319 PE=1 SV=1	tr|A0A2B4RQP4|A0A2B4RQP4_STYPI	0	Dyslexia-associated protein KIAA0319 OS=Stylophora pistillata GN=AWC38_SpisGene16746 PE=4 SV=1	ref|XP_020617839.1|	0	uncharacterized protein LOC110055778 [Orbicella faveolata]	GO:0030665; GO:0005769; GO:0031901; GO:0016021; GO:0043231; GO:0005886; GO:0061024; GO:2000171; GO:0001764	GO:0016021
HMCN2.35	0.31734608174071	0.745290923268414	0.061	0.029	1	sym	evm.model.Ap9.1305	evm.TU.Ap9.1305	Hemicentin-2	Putative phosphorylase b kinase regulatory subunit alpha	hemicentin-2-like [Orbicella faveolata]	sp|Q8NDA2|HMCN2_HUMAN	1.54e-31	Hemicentin-2 OS=Homo sapiens GN=HMCN2 PE=2 SV=3	tr|A0A2B4S7T9|A0A2B4S7T9_STYPI	0	Putative phosphorylase b kinase regulatory subunit alpha OS=Stylophora pistillata GN=AWC38_SpisGene10738 PE=4 SV=1	ref|XP_020631181.1|	0	hemicentin-2-like [Orbicella faveolata]	GO:0005604; GO:0005938; GO:0030054; GO:0032154; GO:0031012; GO:0005509; GO:0030335; GO:0050896; GO:0006939	GO:0005886; GO:0005516; GO:0016301; GO:0005977
GILT.2	0.384300823430231	-0.601050691350317	0.52	0.576	1	apo	evm.model.Ap4.6696	evm.TU.Ap4.6696	Gamma-interferon-inducible lysosomal thiol reductase	Gamma-interferon-inducible lysosomal thiol reductase	gamma-interferon-inducible lysosomal thiol reductase-like [Orbicella faveolata]	sp|Q5XJN2|GILT_DANRE	6.95e-55	Gamma-interferon-inducible lysosomal thiol reductase OS=Danio rerio GN=ifi30 PE=1 SV=1	tr|A0A2B4SSD0|A0A2B4SSD0_STYPI	4.06e-114	Gamma-interferon-inducible lysosomal thiol reductase OS=Stylophora pistillata GN=IFI30 PE=4 SV=1	ref|XP_020602859.1|	9.75e-135	gamma-interferon-inducible lysosomal thiol reductase-like [Orbicella faveolata]	GO:0005576; GO:0005764; GO:0047134; GO:0002376	GO:0016021
