gene_symbol	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	diffexpressed	Protein_ID	gene	swissprot_symbol	trembl_symbol	ncbi_symbol	Swiss.Prot_Hit	SP_E.value	Swiss.Prot_Description	Trembl_Hit	TB_E.value	Trembl_Description	NCBI_hit	nr_E.value	NCBI_Description	GO_Swiss.Prot	GO_Trembl
RS12	0.625708655704138	-0.281524737938721	0.343	0.424	1	apo	evm.model.Ap3.2101	evm.TU.Ap3.2101	40S ribosomal protein S12	40S ribosomal protein S12	40S ribosomal protein S12-like [Orbicella faveolata]	sp|P84175|RS12_CHICK	4.9e-70	40S ribosomal protein S12 OS=Gallus gallus GN=RPS12 PE=1 SV=2	tr|A0A2B4RWA1|A0A2B4RWA1_STYPI	3.35e-87	40S ribosomal protein S12 OS=Stylophora pistillata GN=RPS12 PE=4 SV=1	ref|XP_020606844.1|	9.58e-88	40S ribosomal protein S12-like [Orbicella faveolata]	GO:0022627; GO:0003735; GO:0006412	GO:0005840; GO:0003735; GO:0006412
POL.10	0.696817300846325	1.8713103709435	0.02	0.004	1	sym	evm.model.Ap10.1559	evm.TU.Ap10.1559	Pro-Pol polyprotein	Putative transposable element (Fragment)	hypothetical protein AC249_AIPGENE17192 [Exaiptasia pallida]	sp|O93209|POL_FFV	6.57e-07	Pro-Pol polyprotein OS=Feline foamy virus GN=pol PE=3 SV=1	tr|A0A147BPM6|A0A147BPM6_IXORI	0	Putative transposable element (Fragment) OS=Ixodes ricinus PE=4 SV=1	gb|KXJ06346.1|	0	hypothetical protein AC249_AIPGENE17192 [Exaiptasia pallida]	GO:0030430; GO:0042025; GO:0019012; GO:0004190; GO:0003887; GO:0046872; GO:0003723; GO:0003964; GO:0004523; GO:0015074; GO:0006310; GO:0075713; GO:0046718; GO:0044826; GO:0075732	GO:0003676; GO:0008270; GO:0015074
SCUB3	0.699730349029029	0.311927334128639	0.058	0.048	1	sym	evm.model.Ap12.2540	evm.TU.Ap12.2540	Signal peptide, CUB and EGF-like domain-containing protein 3	Signal peptide, CUB and EGF-like domain-containing protein 3	signal peptide, CUB and EGF-like domain-containing protein 2 [Orbicella faveolata]	sp|Q66PY1|SCUB3_MOUSE	4.56e-62	Signal peptide, CUB and EGF-like domain-containing protein 3 OS=Mus musculus GN=Scube3 PE=1 SV=1	tr|A0A2B4S804|A0A2B4S804_STYPI	0	Signal peptide, CUB and EGF-like domain-containing protein 3 OS=Stylophora pistillata GN=Scube3 PE=4 SV=1	ref|XP_020620622.1|	0	signal peptide, CUB and EGF-like domain-containing protein 2 [Orbicella faveolata]	GO:0009986; GO:0005615; GO:0005886; GO:0005509; GO:0030154; GO:0045880; GO:0051291; GO:0051260	GO:0005509
PEG3.2	0.702503895305769	-0.556733496179296	0.067	0.107	1	apo	evm.model.Ap7.408	evm.TU.Ap7.408	Paternally-expressed gene 3 protein	Uncharacterized protein (Fragment)	mucin-2-like isoform X1 [Orbicella faveolata]	sp|Q6H236|PEG3_BOVIN	2.65e-26	Paternally-expressed gene 3 protein OS=Bos taurus GN=PEG3 PE=2 SV=1	tr|A0A2A6B2C5|A0A2A6B2C5_PRIPA	4.67e-20	Uncharacterized protein (Fragment) OS=Pristionchus pacificus GN=PRIPAC_49516 PE=4 SV=1	ref|XP_020623225.1|	0	mucin-2-like isoform X1 [Orbicella faveolata]	GO:0005737; GO:0005634; GO:0046872; GO:0003676; GO:0000981; GO:0006915	
MMP25.1	0.716472431722447	-0.7804477406669	0.052	0.074	1	apo	evm.model.Ap13.2857	evm.TU.Ap13.2857	Matrix metalloproteinase-25	Matrix metalloproteinase-25	matrix metalloproteinase-24-like [Orbicella faveolata]	sp|Q3U435|MMP25_MOUSE	1.23e-97	Matrix metalloproteinase-25 OS=Mus musculus GN=Mmp25 PE=2 SV=1	tr|A0A2B4SLF1|A0A2B4SLF1_STYPI	0	Matrix metalloproteinase-25 OS=Stylophora pistillata GN=Mmp25 PE=4 SV=1	ref|XP_020618480.1|	0	matrix metalloproteinase-24-like [Orbicella faveolata]	GO:0031225; GO:0009986; GO:0031012; GO:0016021; GO:0005886; GO:0004222; GO:0016504; GO:0008270; GO:0060022; GO:0006954; GO:0006508	GO:0031012; GO:0016021; GO:0004222; GO:0008270
RL18A	0.717495496406719	-0.162651657328434	0.256	0.284	1	apo	evm.model.Ap10.328	evm.TU.Ap10.328	60S ribosomal protein L18a	60S ribosomal protein L18a	60S ribosomal protein L18a-like isoform X2 [Orbicella faveolata]	sp|Q02543|RL18A_HUMAN	2.61e-94	60S ribosomal protein L18a OS=Homo sapiens GN=RPL18A PE=1 SV=2	tr|A0A2B4SLG2|A0A2B4SLG2_STYPI	3.58e-117	60S ribosomal protein L18a OS=Stylophora pistillata GN=RPL18A PE=4 SV=1	ref|XP_020631608.1|	4.17e-119	60S ribosomal protein L18a-like isoform X2 [Orbicella faveolata]	GO:0005829; GO:0022625; GO:0016020; GO:0003723; GO:0003735; GO:0000184; GO:0097327; GO:0006364; GO:0006614; GO:0006412; GO:0006413; GO:0019083	GO:0005840; GO:0003735; GO:0006412
GR101.4	0.740956139829454	3.61851714378233	0.02	0.002	1	sym	evm.model.Ap5.1381	evm.TU.Ap5.1381	G-protein coupled receptor GRL101	G-protein coupled receptor GRL101	uncharacterized protein LOC111347088 [Stylophora pistillata]	sp|P46023|GR101_LYMST	6.07e-121	G-protein coupled receptor GRL101 OS=Lymnaea stagnalis PE=2 SV=1	tr|A0A2B4RGH3|A0A2B4RGH3_STYPI	0	G-protein coupled receptor GRL101 OS=Stylophora pistillata GN=AWC38_SpisGene20412 PE=4 SV=1	ref|XP_022810087.1|	0	uncharacterized protein LOC111347088 [Stylophora pistillata]	GO:0016021; GO:0005886; GO:0004930	GO:0016021; GO:0005524; GO:0004930; GO:0017154; GO:0005021; GO:0001525; GO:0007411
ACTC.3	0.75412359570615	-0.30243392240151	0.108	0.079	1	apo	evm.model.Ap12.1198	evm.TU.Ap12.1198	Actin, cytoplasmic	Actin	actin [Galaxea fascicularis]	sp|P12716|ACTC_PISOC	0	Actin, cytoplasmic OS=Pisaster ochraceus PE=3 SV=1	tr|Q8IAC3|Q8IAC3_GALFS	0	Actin OS=Galaxea fascicularis GN=LGfact PE=2 SV=1	dbj|BAC44866.1|	0	actin [Galaxea fascicularis]	GO:0005737; GO:0005856; GO:0005524	GO:0005524
TBB	0.810823266122759	1.55906846090071	0.015	0.004	1	sym	evm.model.Ap8.1243	evm.TU.Ap8.1243	Tubulin beta chain	Tubulin beta chain	tubulin beta-4B chain [Orbicella faveolata]	sp|P11833|TBB_PARLI	0	Tubulin beta chain OS=Paracentrotus lividus PE=2 SV=1	tr|Q70SJ8|Q70SJ8_SUBDO	0	Tubulin beta chain OS=Suberites domuncula GN=tub PE=2 SV=1	ref|XP_020631466.1|	0	tubulin beta-4B chain [Orbicella faveolata]	GO:0005737; GO:0005874; GO:0005525; GO:0003924; GO:0005200; GO:0007017	GO:0005737; GO:0005874; GO:0005525; GO:0003924; GO:0005200; GO:0007017
TBA1A	0.839948698269769	-1.06097550293769	0.012	0.013	1	apo	evm.model.Ap7.2235	evm.TU.Ap7.2235	Tubulin alpha-1A chain	Tubulin alpha chain	tubulin alpha-1A chain isoform X1 [Orbicella faveolata]	sp|A5A6J1|TBA1A_PANTR	0	Tubulin alpha-1A chain OS=Pan troglodytes GN=TUBA1A PE=2 SV=1	tr|A0A194AM95|A0A194AM95_PINFU	0	Tubulin alpha chain OS=Pinctada fucata PE=3 SV=1	ref|XP_020602294.1|	0	tubulin alpha-1A chain isoform X1 [Orbicella faveolata]	GO:0005881; GO:0036464; GO:0043209; GO:0055037; GO:0005525; GO:0003924; GO:0005200; GO:0007017	GO:0005737; GO:0005874; GO:0005525; GO:0003924; GO:0005200; GO:0007017
ELK1.5	0.840984056763612	-0.767608100373701	0.029	0.039	1	apo	evm.model.Ap10.639	evm.TU.Ap10.639	ETS domain-containing protein Elk-1	ETS domain-containing protein Elk-1	ecdysone-induced protein 74EF-like [Orbicella faveolata]	sp|A4GTP4|ELK1_RAT	1.55e-24	ETS domain-containing protein Elk-1 OS=Rattus norvegicus GN=Elk1 PE=1 SV=1	tr|A0A2B4SHU3|A0A2B4SHU3_STYPI	3.01e-43	ETS domain-containing protein Elk-1 OS=Stylophora pistillata GN=Elk1 PE=4 SV=1	ref|XP_020616821.1|	2.04e-91	ecdysone-induced protein 74EF-like [Orbicella faveolata]	GO:0043679; GO:0005737; GO:0030425; GO:0005739; GO:0043025; GO:0005654; GO:0005634; GO:0003682; GO:0003700; GO:0003690; GO:0000978; GO:0000981; GO:0001085; GO:0001077; GO:0030154; GO:0071480; GO:0071396; GO:0071394; GO:1901216; GO:0045944; GO:0045893; GO:0006355; GO:0071774; GO:0009416	GO:0016021; GO:0005634; GO:0003700; GO:0043565
SVEP1.65	0.865807295271277	0.475954727778011	0.017	0.009	1	sym	evm.model.Ap2.2987	evm.TU.Ap2.2987	Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1	CD209 antigen-like protein E	uncharacterized protein LOC111345816 [Stylophora pistillata]	sp|P0C6B8|SVEP1_RAT	8.99e-27	Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Rattus norvegicus GN=Svep1 PE=1 SV=1	tr|A0A2B4RB74|A0A2B4RB74_STYPI	0	CD209 antigen-like protein E OS=Stylophora pistillata GN=Cd209e PE=4 SV=1	ref|XP_022808833.1|	0	uncharacterized protein LOC111345816 [Stylophora pistillata]	GO:0005737; GO:0005615; GO:0016020; GO:0005509; GO:0003682; GO:0007155	GO:0005509
THSD1	0.870151325563367	-0.223876374270162	0.183	0.197	1	apo	evm.model.Ap5.121	evm.TU.Ap5.121	Thrombospondin type-1 domain-containing protein 1	Thrombospondin type-1 domain-containing protein 1	uncharacterized protein LOC110056806 isoform X1 [Orbicella faveolata]	sp|Q9JM61|THSD1_MOUSE	3.32e-09	Thrombospondin type-1 domain-containing protein 1 OS=Mus musculus GN=Thsd1 PE=1 SV=2	tr|A0A2B4SQI1|A0A2B4SQI1_STYPI	0	Thrombospondin type-1 domain-containing protein 1 OS=Stylophora pistillata GN=THSD1 PE=4 SV=1	ref|XP_020619008.1|	0	uncharacterized protein LOC110056806 isoform X1 [Orbicella faveolata]	GO:0071944; GO:0009986; GO:0005737; GO:0005829; GO:0016021; GO:0002244	GO:0016021
VWDE.4	0.87194381830354	-0.11491920397861	0.102	0.133	1	apo	evm.model.Ap7.605	evm.TU.Ap7.605	von Willebrand factor D and EGF domain-containing protein	von Willebrand factor D and EGF domain-containing protein	uncharacterized protein LOC110049928 isoform X1 [Orbicella faveolata]	sp|Q8N2E2|VWDE_HUMAN	1.32e-44	von Willebrand factor D and EGF domain-containing protein OS=Homo sapiens GN=VWDE PE=2 SV=4	tr|A0A2B4SXK5|A0A2B4SXK5_STYPI	0	von Willebrand factor D and EGF domain-containing protein OS=Stylophora pistillata GN=VWDE PE=4 SV=1	ref|XP_020611439.1|	0	uncharacterized protein LOC110049928 isoform X1 [Orbicella faveolata]	GO:0005576	GO:0005886; GO:0043236; GO:0007213; GO:0043113
ING4	0.8789061156005	-0.976868138685026	0.017	0.017	1	apo	evm.model.Ap6.1450	evm.TU.Ap6.1450	Inhibitor of growth protein 4	Inhibitor of growth protein 5	inhibitor of growth protein 4-like [Orbicella faveolata]	sp|Q9UNL4|ING4_HUMAN	1.05e-103	Inhibitor of growth protein 4 OS=Homo sapiens GN=ING4 PE=1 SV=1	tr|A0A2B4SS90|A0A2B4SS90_STYPI	1.82e-162	Inhibitor of growth protein 5 OS=Stylophora pistillata GN=Ing5 PE=4 SV=1	ref|XP_020616461.1|	1.26e-180	inhibitor of growth protein 4-like [Orbicella faveolata]	GO:0005829; GO:0000123; GO:0045111; GO:0005654; GO:0005634; GO:0046872; GO:0035064; GO:0003713; GO:0006915; GO:0007050; GO:0006978; GO:0006260; GO:0043966; GO:0043983; GO:0043981; GO:0043982; GO:0008285; GO:0045926; GO:0045892; GO:0043065; GO:0006473	GO:0070776; GO:0046872; GO:0016573; GO:0008285
BAFB	0.886552646130561	-3.36621352112589	0.003	0.02	1	apo	evm.model.Ap13.2481	evm.TU.Ap13.2481	Barrier-to-autointegration factor B	Uncharacterized protein	barrier-to-autointegration factor-like [Orbicella faveolata]	sp|Q66KV4|BAFB_XENLA	5.67e-50	Barrier-to-autointegration factor B OS=Xenopus laevis GN=banf1-b PE=1 SV=1	tr|C3XZ01|C3XZ01_BRAFL	6.85e-51	Uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_202557 PE=4 SV=1	ref|XP_020621616.1|	4.83e-55	barrier-to-autointegration factor-like [Orbicella faveolata]	GO:0005694; GO:0005635; GO:0003677	GO:0003677
RL371	0.894886405061002	-0.330147296104812	0.387	0.485	1	apo	evm.model.Ap14.974	evm.TU.Ap14.974	Probable 60S ribosomal protein L37-A	FAS-associated factor 1	FAS-associated factor 1 [Stylophora pistillata]	sp|Q9VXX8|RL371_DROME	1.95e-45	Probable 60S ribosomal protein L37-A OS=Drosophila melanogaster GN=RpL37a PE=1 SV=1	tr|A0A2B4S0W8|A0A2B4S0W8_STYPI	1.01e-49	FAS-associated factor 1 OS=Stylophora pistillata GN=FAF1 PE=4 SV=1	gb|PFX22217.1|	1.56e-49	FAS-associated factor 1 [Stylophora pistillata]	GO:0022625; GO:0046872; GO:0003723; GO:0019843; GO:0003735; GO:0002181	GO:0005840; GO:0003735; GO:0006412
DNAJ1	0.900270022693277	0.00582830885953722	0.113	0.118	1	sym	evm.model.Ap6.2139	evm.TU.Ap6.2139	DnaJ protein homolog 1	DnaJ protein-like 1	dnaJ protein homolog 1-like [Orbicella faveolata]	sp|Q24133|DNAJ1_DROME	1.18e-105	DnaJ protein homolog 1 OS=Drosophila melanogaster GN=DnaJ-1 PE=1 SV=3	tr|A0A2B4RDU7|A0A2B4RDU7_STYPI	0	DnaJ protein-like 1 OS=Stylophora pistillata GN=DnaJ-1 PE=4 SV=1	ref|XP_020622054.1|	0	dnaJ protein homolog 1-like [Orbicella faveolata]	GO:0005737; GO:0051082; GO:0006457; GO:0009408	GO:0051082; GO:0006457
CHSTE.2	0.913627912840565	0.332986744981016	0.017	0.015	1	sym	evm.model.Ap5.2807	evm.TU.Ap5.2807	Carbohydrate sulfotransferase 14	Carbohydrate sulfotransferase 14	carbohydrate sulfotransferase 14-like isoform X1 [Orbicella faveolata]	sp|Q8NCH0|CHSTE_HUMAN	1.62e-77	Carbohydrate sulfotransferase 14 OS=Homo sapiens GN=CHST14 PE=1 SV=2	tr|A0A2B4RV09|A0A2B4RV09_STYPI	1.01e-135	Carbohydrate sulfotransferase 14 OS=Stylophora pistillata GN=chst14 PE=4 SV=1	ref|XP_020604615.1|	0	carbohydrate sulfotransferase 14-like isoform X1 [Orbicella faveolata]	GO:0070062; GO:0000139; GO:0016021; GO:0001537; GO:0042301; GO:0016051; GO:0030208; GO:0050655	GO:0000139; GO:0016021; GO:0008146; GO:0016051
ZC21C	0.918622526518511	-0.901349786785273	0.015	0.028	1	apo	evm.model.Ap13.1976	evm.TU.Ap13.1976	Zinc finger C2HC domain-containing protein 1C	Zinc finger C2HC domain-containing protein 1C	zinc finger C2HC domain-containing protein 1C-like [Orbicella faveolata]	sp|Q6AYP4|ZC21C_RAT	1.48e-30	Zinc finger C2HC domain-containing protein 1C OS=Rattus norvegicus GN=Zc2hc1c PE=2 SV=1	tr|A0A2B4RIT2|A0A2B4RIT2_STYPI	0	Zinc finger C2HC domain-containing protein 1C OS=Stylophora pistillata GN=Zc2hc1c PE=4 SV=1	ref|XP_020614460.1|	0	zinc finger C2HC domain-containing protein 1C-like [Orbicella faveolata]	GO:0046872	
H2AV	0.921455512259043	0.725900711836113	0.015	0.011	1	sym	evm.model.Ap9.2390	evm.TU.Ap9.2390	Histone H2A.V (Fragment)	Histone H2A.V	predicted protein [Nematostella vectensis]	sp|P08991|H2AV_STRPU	9.66e-80	Histone H2A.V (Fragment) OS=Strongylocentrotus purpuratus GN=H2A.F/Z PE=1 SV=1	tr|A0A2B4RVM0|A0A2B4RVM0_STYPI	3.42e-84	Histone H2A.V OS=Stylophora pistillata GN=H2A.F PE=4 SV=1	gb|EDO46289.1|	5.3e-84	predicted protein [Nematostella vectensis]	GO:0000790; GO:0000786; GO:0003677; GO:0046982; GO:0006342	GO:0000786; GO:0005634; GO:0003677; GO:0046982
RL15	0.926922592670357	-0.208471356579124	0.27	0.338	1	apo	evm.model.Ap4.736	evm.TU.Ap4.736	60S ribosomal protein L15 (Fragment)	60S ribosomal protein L15	60S ribosomal protein L15-like [Stylophora pistillata]	sp|P79324|RL15_PIG	8.31e-53	60S ribosomal protein L15 (Fragment) OS=Sus scrofa GN=RPL15 PE=2 SV=1	tr|A0A2B4RCT8|A0A2B4RCT8_STYPI	8.1e-67	60S ribosomal protein L15 OS=Stylophora pistillata GN=Rpl15 PE=4 SV=1	gb|PFX14613.1|	1.26e-66	60S ribosomal protein L15-like [Stylophora pistillata]	GO:0022625; GO:0003723; GO:0003735; GO:0002181	GO:0005840; GO:0003735; GO:0006412
RS14	0.938263475847449	-0.292026809295029	0.302	0.367	1	apo	evm.model.Ap4.1025	evm.TU.Ap4.1025	40S ribosomal protein S14	40S ribosomal protein S14	40S ribosomal protein S14 [Orbicella faveolata]	sp|P62263|RS14_HUMAN	1.73e-86	40S ribosomal protein S14 OS=Homo sapiens GN=RPS14 PE=1 SV=3	tr|A0A2B4S1W5|A0A2B4S1W5_STYPI	7.1e-105	40S ribosomal protein S14 OS=Stylophora pistillata GN=RPS14 PE=4 SV=1	gb|PFX23043.1|	1.1e-104	40S ribosomal protein S14 [Orbicella faveolata]	GO:0005829; GO:0022627; GO:0070062; GO:0031012; GO:0005925; GO:0016020; GO:0005739; GO:0005730; GO:0005654; GO:0048027; GO:0003723; GO:0070181; GO:0003735; GO:0045182; GO:0030218; GO:0030490; GO:0000462; GO:0000122; GO:0000184; GO:0000028; GO:0006364; GO:0006614; GO:0006412; GO:0006413; GO:0019083	GO:0005840; GO:0003735; GO:0006412
CADN.14	0.942859414571699	-0.173893539117766	0.096	0.105	1	apo	evm.model.Ap7.135	evm.TU.Ap7.135	Coadhesin (Fragment)	Hemicentin-1	SCO-spondin-like isoform X1 [Orbicella faveolata]	sp|B3EWZ3|CADN_ACRMI	1.24e-110	Coadhesin (Fragment) OS=Acropora millepora PE=1 SV=1	tr|A0A2B4SV42|A0A2B4SV42_STYPI	0	Hemicentin-1 OS=Stylophora pistillata GN=HMCN1 PE=4 SV=1	ref|XP_020632429.1|	0	SCO-spondin-like isoform X1 [Orbicella faveolata]	GO:0016021	
MYS	0.966354775799326	-0.627630455345738	0.023	0.024	1	apo	evm.model.Ap12.2331	evm.TU.Ap12.2331	Myosin heavy chain, striated muscle	Uncharacterized protein	golgin subfamily B member 1-like, partial [Orbicella faveolata]	sp|P24733|MYS_ARGIR	1.04e-08	Myosin heavy chain, striated muscle OS=Argopecten irradians PE=1 SV=1	tr|A0A2B4RPI1|A0A2B4RPI1_STYPI	0	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene16900 PE=4 SV=1	ref|XP_020624360.1|	0	golgin subfamily B member 1-like, partial [Orbicella faveolata]	GO:0030016; GO:0032982; GO:0051015; GO:0005524; GO:0005516; GO:0003774	
IQCE.1	NA	-0.053658901238586	0.084	0.083	NA	apo	evm.model.Ap2.3724	evm.TU.Ap2.3724	IQ domain-containing protein E	IQ domain-containing protein E	IQ domain-containing protein E-like isoform X2 [Orbicella faveolata]	sp|Q6IPM2|IQCE_HUMAN	7.21e-37	IQ domain-containing protein E OS=Homo sapiens GN=IQCE PE=1 SV=2	tr|A0A2B4RXX7|A0A2B4RXX7_STYPI	0	IQ domain-containing protein E OS=Stylophora pistillata GN=Iqce PE=4 SV=1	ref|XP_020608604.1|	0	IQ domain-containing protein E-like isoform X2 [Orbicella faveolata]	GO:0060170; GO:0005929	
